"price","assess","bdrms","lotsize","sqrft","colonial","lprice","lassess","llotsize","lsqrft"
313.0,324.0,3,1000,2768,0,5.7462029999999995,5.780744,6.907755,7.92588
417.5,475.5,4,8112,3733,0,6.034285,6.1643669999999995,9.0011,8.224967
253.0,256.8,3,5850,1536,1,5.53339,5.548297,8.674197,7.336937
315.0,279.2,4,6660,1638,1,5.752573,5.631928,8.803875,7.401231
264.0,313.9,3,6637,1972,1,5.575949,5.749074,8.800415,7.586803
255.0,279.8,2,15267,1478,0,5.541264,5.634075,9.633449,7.298445
210.0,198.7,3,5146,1408,1,5.347107,5.291796,8.545975,7.249925999999999
180.0,221.5,3,6017,1812,1,5.192957,5.400423,8.702344,7.502186
250.0,268.4,3,8410,1722,1,5.521461,5.592478,9.037177,7.4512410000000004
250.0,282.3,4,5625,1780,1,5.521461,5.64297,8.634976,7.484369
209.0,230.7,4,5600,1674,1,5.342333999999999,5.441118,8.630522000000001,7.422971
258.0,287.0,4,6525,1850,1,5.5529589999999995,5.659482,8.783396,7.522941
289.0,298.7,3,6060,1925,1,5.666427,5.69944,8.709465,7.5626809999999995
316.0,314.6,4,5539,2343,0,5.755742,5.751302,8.619569,7.759187
225.0,291.0,3,7566,1567,0,5.416101,5.673323,8.931419,7.356917999999999
266.0,286.4,4,5484,1664,1,5.583496,5.65739,8.609589999999999,7.416980000000001
310.0,253.6,6,5348,1386,1,5.736572,5.535758,8.584478,7.234177000000001
471.25,482.0,5,15834,2617,1,6.1553889999999996,6.177944,9.669915,7.869783999999999
335.0,384.3,4,8022,2321,1,5.8141300000000005,5.951423999999999,8.989944,7.749753
495.0,543.6,4,11966,2638,1,6.2045580000000005,6.298213,9.389825,7.877776
279.5,336.5,4,8460,1915,1,5.633001999999999,5.818598000000001,9.043104,7.557473
380.0,515.1,4,15105,2589,1,5.940171,6.2443610000000005,9.622781,7.859027
325.0,437.0,4,10859,2709,0,5.783825,6.0799330000000005,9.292749,7.9043350000000006
220.0,263.4,3,6300,1587,1,5.393628,5.573674,8.748305,7.369600999999999
215.0,300.4,3,11554,1694,0,5.370638,5.705115,9.354787,7.434848
240.0,250.7,3,6000,1536,1,5.480639,5.5242569999999995,8.699514,7.336937
725.0,708.6,5,31000,3662,0,6.586172,6.563291,10.34174,8.205765
230.0,276.3,3,4054,1736,1,5.438079,5.621487,8.307459,7.459339
306.0,388.6,2,20700,2205,0,5.723585,5.962551,9.937889,7.698483
425.0,252.5,3,5525,1502,0,6.052089,5.531411,8.617039,7.314553
318.0,295.2,4,92681,1696,1,5.762052,5.687653,11.436919999999999,7.436028
330.0,359.5,3,8178,2186,1,5.799093,5.884714,9.009203,7.689829
246.0,276.2,4,5944,1928,1,5.505332,5.621125,8.690138000000001,7.564239
225.0,249.8,3,18838,1294,0,5.416101,5.5206599999999995,9.843632000000001,7.165493
111.0,202.4,4,4315,1535,1,4.70953,5.310246,8.369852999999999,7.336286
268.125,254.0,3,5167,1980,1,5.591453,5.5373339999999995,8.550048,7.590852000000001
244.0,306.8,4,7893,2090,1,5.497168,5.726196,8.973732,7.644919
295.0,318.3,3,6056,1837,1,5.686975,5.762994,8.708805,7.515889
236.0,259.4,3,5828,1715,0,5.463832,5.558371,8.670428999999999,7.447168
202.5,258.1,3,6341,1574,0,5.31074,5.5533470000000005,8.754792,7.361375
219.0,232.0,2,6362,1185,0,5.3890720000000005,5.446737000000001,8.758098,7.077497999999999
242.0,252.0,4,4950,1774,1,5.488938,5.529429,8.507143,7.480992
